code,qid,question,option_1,option_2,option_3,option_4,correct_option
POF,192,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,193,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,194,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bättre stabilitet,Högre lyftkraft,Better markfrigång,Minskad vikt,1
POF,195,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,196,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,197,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,198,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,199,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,200,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,201,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,202,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,203,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,204,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,205,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,206,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,207,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,208,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,209,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,210,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,211,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,212,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,213,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,214,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,215,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,216,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,217,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,218,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,219,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,220,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,221,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bättre stabilitet,Högre lyftkraft,Better markfrigång,Minskad vikt,1
POF,222,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,223,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,224,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,225,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,226,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,227,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,228,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,229,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,230,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,231,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,232,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,233,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,234,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,235,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,236,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,237,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,238,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,239,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,240,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,241,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,242,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,243,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,244,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,245,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,246,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,247,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,248,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bättre stabilitet,Högre lyftkraft,Better markfrigång,Minskad vikt,1
POF,249,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,250,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,251,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,252,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,253,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,254,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,255,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,256,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,257,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,258,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,259,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,260,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,261,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,262,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,263,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,264,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,265,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,266,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,267,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,268,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,269,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,270,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,271,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,272,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,273,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,274,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,275,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bättre stabilitet,Högre lyftkraft,Better markfrigång,Minskad vikt,1
POF,276,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,277,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,278,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,279,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,280,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,281,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,282,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,283,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,284,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,285,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,286,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,287,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,288,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,289,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,290,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,291,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,292,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,293,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,294,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,295,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,296,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,297,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,298,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,299,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,300,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,301,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,302,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bättre stabilitet,Högre lyftkraft,Better markfrigång,Minskad vikt,1
POF,303,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,304,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,305,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,306,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,307,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,308,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,309,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,310,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,311,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,312,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,313,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,314,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,315,Vad kallas den effekt som uppstår när luften accelererar över vingens ovansida?,Venturi-effekten,Bernoulli-effekten,Coanda-effekten,Magnus-effekten,2
POF,316,Vad är syftet med en balansroder?,Minska pilotens ansträngning,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,317,Vad är en nackdel med en hög vingbelastning?,Sämre lyftkraft vid låga hastigheter,Högre hastighet,Lägre bränsleförbrukning,Bättre stabilitet,1
POF,318,Vad kallas den vinkel som vingens plan har i förhållande till horisontalplanet?,Dihedralvinkel,Anfallsvinkel,Svepevinkel,Glidvinkel,1
POF,319,Vad är syftet med en T-tail-konfiguration?,Minska störningar från propellerflöde,Öka lyftkraft,Minska vikt,Öka hastighet,1
POF,320,Vad är en vanlig orsak till att ett flygplan upplever vibrationer vid hög hastighet?,Aerodynamisk obalans,Ökad lyftkraft,Minskad luftdensitet,Felaktig bränsleblandning,1
POF,321,Vad är syftet med en Krueger-flap?,Öka lyftkraft vid låga hastigheter,Minska hastighet,Styra gir,Minska bränsleförbrukning,1
POF,322,Vad kallas den effekt som gör att ett flygplan tenderar att återgå till stabil flygning?,Statisk stabilitet,Dynamisk stabilitet,Aerodynamisk stabilitet,Termisk stabilitet,1
POF,323,Vad är en fördel med en hög vingspann-till-korda-förhållande vid glidflygning?,Bättre glidprestanda,Högre hastighet,Lägre lyftkraft,Ökad bränsleförbrukning,1
POF,324,Vad är syftet med en vingklaff vid start?,Öka lyftkraft och minska starsträcka,Minska hastighet,Styra gir,Öka bränsleförbrukning,1
POF,325,Vad kallas den hastighet där flygplanet har högsta lyft-till-motstånd-förhållande?,Bästa glidvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,326,Vad är en vanlig orsak till att ett flygplan stallar vid hög höjd?,Lägre luftdensitet,Ökad hastighet,Minskad motorstyrka,Ökad vingbelastning,1
POF,327,Vad är syftet med en fenliknande struktur på flygkroppen?,Förbättra riktningsstabilitet,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,328,Vad kallas den effekt som gör att ett flygplan kan svänga utan att rulla?,Koordinerad sväng,Sidoslir,Adverse yaw,Rullmoment,1
POF,329,Vad är en fördel med en lågvingad konstruktion vid höga hastigheter?,Bätter stabilitet,Högre lyftkraft,Better markfrigång,Minskad vikt,1
POF,330,Vad är syftet med en vingklaff vid landning?,Öka lyftkraft och minska hastighet,Öka hastighet,Styra gir,Minska bränsleförbrukning,1
POF,331,Vad kallas den hastighet där flygplanet kan flyga med minsta bränsleförbrukning per kilometer?,Räckviddshastighet,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,332,Vad är en vanlig orsak till att ett flygplan upplever sidoslir?,Obalans i sidroder,Ökad lyftkraft,Minskad dragkraft,Ökad motorstyrka,1
POF,333,Vad är syftet med en vingprofil med låg camber?,Bättre prestanda vid höga hastigheter,Öka lyftkraft vid låga hastigheter,Minska bränsleförbrukning,Styra gir,1
POF,334,Vad kallas den effekt som gör att ett flygplan tenderar att rulla vid gir?,Rullmoment,Adverse yaw,Sidoslir,Stall,1
POF,335,Vad är en fördel med en hög vingspann?,Minska virvelmotstånd,Öka hastighet,Minska lyftkraft,Öka bränsleförbrukning,1
POF,336,Vad är syftet med en tryckkabin i hög höjd?,Upprätthålla behaglig trycknivå,Öka lyftkraft,Minska hastighet,Öka bränsleförbrukning,1
POF,337,Vad kallas den vinkel som flygplanet har i förhållande till vinden under landning?,Glidvinkel,Anfallsvinkel,Svängvinkel,Rullvinkel,1
POF,338,Vad är syftet med en vortex generator på vingen?,Fördröja stall,Öka hastighet,Minska lyftkraft,Styra gir,1
POF,339,Vad kallas den hastighet där flygplanet kan klättra med högsta vinkel?,Bästa stigningsvinkel,Krysshastighet,Stallhastighet,Maxhastighet,1
POF,340,Vad är en vanlig orsak till att ett flygplan vibrerar under flygning?,Obalans i motor eller propeller,Ökad lyftkraft,Minskad luftdensitet,Ökad hastighet,1
POF,341,Vad är syftet med en strömplatta på vingen?,Förbättra luftflödet,Öka hastighet,Minska lyftkraft,Styra gir,1
